,product-ratingsContainer,product-ratingsCount,product-base href,product-brand,product-product,product-sizeInventoryPresent,product-discountedPrice,product-strike,product-discountPercentage,product-category
0,4.0,2k,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-solid-joggers/18204202/buy,HRX by Hrithik Roshan,Men Solid Joggers,M,Rs. 503,Rs. 1199,(58% OFF),bottomwear
1,3.9,6.3k,https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-jeans/1320929/buy,WROGN,Men Slim Fit Jeans,30,Rs. 1819,Rs. 2599,(30% OFF),bottomwear
2,4.2,592,https://www.myntra.com/track-pants/adidas/adidas-men-black-essentials-classics-solid-sustainable-track-pants/10528440/buy,ADIDAS,Men Essentials Classics,XS,Rs. 1374,Rs. 2499,(45% OFF),bottomwear
4,4.1,112,https://www.myntra.com/jeans/roadster/roadster-men-black-solid-carrot-fit--jeans/14805882/buy,Roadster,Men Solid Carrot Fit  Jeans,30,Rs. 1559,Rs. 2599,(40% OFF),bottomwear
5,3.9,388,https://www.myntra.com/track-pants/puma/puma-men-black-solid-dry-cell-slim-fit-ftblplay-training-track-pants/12352000/buy,Puma,Men Slim ftblPLAY Track Pants,M,Rs. 1199,Rs. 2499,(52% OFF),bottomwear
6,3.9,14.3k,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-mid-rise-clean-look-stretchable-jeans/8706059/buy,HIGHLANDER,Men Tapered Fit Jeans,30,Rs. 753,Rs. 1299,(42% OFF),bottomwear
7,4.3,506,https://www.myntra.com/jeans/levis/levis-men-blue-slim-fit-light-fade-stretchable-jeans/20428700/buy,Levis,Men Slim Fit Jeans,30,Rs. 1884,Rs. 2899,(35% OFF),bottomwear
8,3.9,15.6k,https://www.myntra.com/jeans/roadster/roadster-men-blue-skinny-fit-mid-rise-mildly-distressed-stretchable-jeans/5669588/buy,Roadster,Men Skinny Fit Jeans,28,Rs. 824,Rs. 1499,(45% OFF),bottomwear
9,4.0,3k,https://www.myntra.com/track-pants/highlander/highlander-men-black-solid-slim-fit-track-pants/14014788/buy,HIGHLANDER,Men Solid Slim-Fit Track Pants,S,Rs. 557,Rs. 899,(38% OFF),bottomwear
10,4.0,6,https://www.myntra.com/jeans/pepe-jeans/pepe-jeans-men-slim-fit-jeans/21444418/buy,Pepe Jeans,Men Slim Fit Jeans,30,Rs. 1299,Rs. 3799,(Rs. 2500 OFF),bottomwear
11,4.1,1.7k,https://www.myntra.com/jeans/wrogn/wrogn-men-grey-slim-fit-light-fade-stretchable-jeans/2338117/buy,WROGN,Men Slim Fit Jeans,32,Rs. 1039,Rs. 2599,(60% OFF),bottomwear
12,4.0,66,https://www.myntra.com/jeans/peter-england-better-jeans-company/peter-england-better-jeans-company-men-navy-blue-slim-fit-heavy-fade-stretchable-jeans/20519708/buy,Peter England Better Jeans Company,Men Slim Fit Jeans,30,Rs. 1079,Rs. 1799,(40% OFF),bottomwear
14,4.2,656,https://www.myntra.com/jeans/levis/levis-men-dark-blue-slim-fit-light-fade-stretchable-jeans/20428738/buy,Levis,Men Slim Fit Jeans,30,Rs. 2029,Rs. 2899,(30% OFF),bottomwear
15,4.0,835,https://www.myntra.com/jeans/levis/levis-men-blue-512-tapered-fit-heavy-fade-stretchable-jeans/18074866/buy,Levis,Men 512 Tapered Fit Jeans,28,Rs. 2079,Rs. 3199,(35% OFF),bottomwear
16,4.3,195,https://www.myntra.com/jeans/louis-philippe-jeans/louis-philippe-jeans-men-navy-blue-slim-fit-low-rise-stretchable-jeans/20325472/buy,Louis Philippe Jeans,Men Slim Fit Low-Rise Jeans,38,Rs. 1649,Rs. 2999,(45% OFF),bottomwear
17,4.3,190,https://www.myntra.com/trousers/louis-philippe/louis-philippe-men-navy-blue-slim-fit-trousers/18731966/buy,Louis Philippe,Men Slim Fit Trousers,30,Rs. 1559,Rs. 2599,(40% OFF),bottomwear
18,4.0,2k,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-mildly-distressed-stretchable-jeans/2477106/buy,WROGN,Men Slim Fit Jeans,28,Rs. 1739,Rs. 2899,(40% OFF),bottomwear
19,3.8,27,https://www.myntra.com/trousers/montrez/montrez-men-comfort-loose-fit-mid-rise-cotton-cargos-trousers/22932644/buy,MONTREZ,Men Cotton Cargos Trousers,28,Rs. 799,Rs. 1499,(Rs. 700 OFF),bottomwear
20,3.7,2.4k,https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/11274440/buy,Roadster,Men Skinny Fit Jeans,32,Rs. 809,Rs. 1799,(55% OFF),bottomwear
21,3.5,6.1k,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/6832333/buy,WROGN,Men Slim Fit Jeans,28,Rs. 1799,Rs. 2999,(40% OFF),bottomwear
22,4.3,417,https://www.myntra.com/jeans/levis/levis-men-blue-512-slim-fit-mid-rise-light-fade-stretchable-jeans/18074880/buy,Levis,Men 512 Slim Fit Jeans,32,Rs. 1919,Rs. 3199,(40% OFF),bottomwear
23,4.3,799,https://www.myntra.com/jeans/levis/levis-men-blue-511-slim-fit-heavy-fade-stretchable-jeans/18074928/buy,Levis,Men 511 Slim Fit Jeans,28,Rs. 1919,Rs. 3199,(40% OFF),bottomwear
24,3.5,2.4k,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-navy-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/12983796/buy,Mast & Harbour,Men Skinny Fit Jeans,34,Rs. 945,Rs. 2199,(57% OFF),bottomwear
25,4.2,538,https://www.myntra.com/jeans/roadster/roadster-men-black-stretchable-jogger-jeans/19699230/buy,Roadster,Men Jogger Jeans,30,Rs. 949,Rs. 2499,(62% OFF),bottomwear
26,3.8,10.8k,https://www.myntra.com/jeans/highlander/highlander-men-grey-tapered-fit-mid-rise-clean-look-stretchable-jeans/9162835/buy,HIGHLANDER,Men Tapered Fit Jeans,30,Rs. 740,Rs. 1299,(43% OFF),bottomwear
27,4.0,64,https://www.myntra.com/jeans/snitch/snitch-men-black-skinny-fit-stretchable-jeans/20889800/buy,Snitch,Men Skinny Fit Jeans,32,Rs. 1407,Rs. 3198,(56% OFF),bottomwear
28,3.9,267,https://www.myntra.com/jeans/roadster/roadster-men-blue-tapered-fit-stretchable-jeans/14637714/buy,Roadster,Men Tapered Fit Jeans,28,Rs. 799,Rs. 1999,(60% OFF),bottomwear
29,0.0,0,https://www.myntra.com/jeans/flying-machine/flying-machine-men-slim-fit-mid-raise-jeans/22566032/buy,Flying Machine,Men Slim Fit Mid-Raise Jeans,32,Rs. 1264,Rs. 2299,(45% OFF),bottomwear
31,3.8,561,https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-men-black-skinny-fit-mid-rise-clean-look-stretchable-jeans/9270733/buy,Roadster,Men Skinny Fit Jeans,30,Rs. 1319,Rs. 2199,(40% OFF),bottomwear
32,4.2,300,https://www.myntra.com/jeans/levis/levis-men-slim-fit-light-fade-acid-wash-stretchable-jeans/19849948/buy,Levis,Men Slim Fit Mid-Rise Jeans,31,Rs. 2029,Rs. 2899,(30% OFF),bottomwear
33,4.0,4.2k,https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-clean-look-jeans/1427622/buy,WROGN,Men Slim Fit Jeans,28,Rs. 1499,Rs. 2499,(40% OFF),bottomwear
34,4.2,510,https://www.myntra.com/jeans/levis/levis-men-black-512-slim-tapered-fit-light-fade-mid-rise-stretchable-jeans/18074930/buy,Levis,Men 512 Slim Tapered Fit Jeans,28,Rs. 2079,Rs. 3199,(35% OFF),bottomwear
35,4.1,197,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-men-white-slim-fit-jeans/15313736/buy,The Indian Garage Co,Men Slim Fit Jeans,30,Rs. 659,Rs. 1999,(67% OFF),bottomwear
37,0.0,0,https://www.myntra.com/jeans/flying-machine/flying-machine-men-slim-fit-low-rise-heavy-fade-jeans/22566088/buy,Flying Machine,Men Slim Fit Low-Rise Jeans,30,Rs. 1264,Rs. 2299,(45% OFF),bottomwear
38,4.2,7.5k,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-solid-sports-rapid-dry-shorts/1779306/buy,HRX by Hrithik Roshan,RAPID-DRY Men Sports Shorts,28,Rs. 779,Rs. 1299,(40% OFF),bottomwear
39,4.4,63,https://www.myntra.com/trousers/levis/levis-men-mid-rise-tapered-fit-chinos-trousers/20516336/buy,Levis,Tapered Fit Chinos Trousers,28,Rs. 2159,Rs. 2699,(20% OFF),bottomwear
41,4.2,789,https://www.myntra.com/jeans/levis/levis-men-blue-512-tapered-fit-heavy-fade-stretchable-jeans/18074920/buy,Levis,Men 512 Tapered Fit Jeans,30,Rs. 2079,Rs. 3199,(35% OFF),bottomwear
42,4.2,242,https://www.myntra.com/shorts/the-indian-garage-co/the-indian-garage-co-men-blue-slim-fit-denim-shorts/17317976/buy,The Indian Garage Co,Men Slim Fit Denim Shorts,28,Rs. 577,Rs. 1749,(67% OFF),bottomwear
43,4.1,2.9k,https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/1729344/buy,WROGN,Men Slim Fit Jeans,28,Rs. 1499,Rs. 2499,(40% OFF),bottomwear
44,3.9,3.1k,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-mildly-distressed-stretchable-jeans/6832428/buy,WROGN,Men Slim Fit Jeans,30,Rs. 1538,Rs. 2699,(43% OFF),bottomwear
45,4.2,65,https://www.myntra.com/jeans/peter-england-better-jeans-company/peter-england-better-jeans-company-men-blue-custom-fit-mid-rise-light-fade-jeans/20519712/buy,Peter England Better Jeans Company,Men Custom Fit Jeans,28,Rs. 1169,Rs. 1799,(35% OFF),bottomwear
46,4.2,807,https://www.myntra.com/jeans/levis/levis-men-blue-512-tapered-fit-light-fade-stretchable-jeans/18074862/buy,Levis,Men 512 Tapered Fit Jeans,34,Rs. 2079,Rs. 3199,(35% OFF),bottomwear
47,0.0,0,https://www.myntra.com/trousers/fubar/fubar-men-slim-fit-easy-wash-chinos-trousers/22911948/buy,FUBAR,Men Slim Fit Chinos Trousers,30,Rs. 799,Rs. 1648,(Rs. 849 OFF),bottomwear
48,4.2,389,https://www.myntra.com/jeans/levis/levis-men-blue-511-slim-fit-light-fade-stretchable-jeans/18074856/buy,Levis,Men 511 Slim Fit Jeans,28,Rs. 1919,Rs. 3199,(40% OFF),bottomwear
49,4.1,108,https://www.myntra.com/track-pants/invictus-indoor/invictus-indoor-men-grey-melange-solid-regular-fit-mid-rise-track-pants/16234354/buy,Invictus Indoor,Men Solid Track Pants,S,Rs. 419,Rs. 1198,(65% OFF),bottomwear
50,4.0,10,https://www.myntra.com/shorts/pause-sport/pause-sport-men-mid-rise-cotton-sports-shorts/21955036/buy,PAUSE SPORT,Men Cotton Sports Shorts,28,Rs. 359,Rs. 1199,(70% OFF),bottomwear
51,4.4,5,https://www.myntra.com/shorts/mast--harbour/mast--harbour-men-black-solid-shorts/17774074/buy,Mast & Harbour,Men Solid Shorts,28,Rs. 324,Rs. 1299,(75% OFF),bottomwear
52,0.0,0,https://www.myntra.com/trousers/abof/abof-men-grey-colourblocked-joggers-trousers/19879702/buy,abof,Men Joggers Trousers,32,Rs. 449,Rs. 1499,(70% OFF),bottomwear
53,0.0,0,https://www.myntra.com/track-pants/v-mart/v-mart-men-cotton-track-pants/21813826/buy,V-Mart,Men Cotton Track Pants,XL,Rs. 404,Rs. 449,(10% OFF),bottomwear
54,4.2,10,https://www.myntra.com/track-pants/abof/abof-men-navy-blue-solid-regular-fit-joggers/14335478/buy,abof,Men Regular Fit Joggers,S,Rs. 419,Rs. 1399,(70% OFF),bottomwear
55,4.1,335,https://www.myntra.com/track-pants/highlander/highlander-men-black--white-typography-printed-slim-fit-sports-track-pants/14646000/buy,HIGHLANDER,Men Printed Sports Track Pants,M,Rs. 408,Rs. 949,(57% OFF),bottomwear
56,3.8,64,https://www.myntra.com/track-pants/roadster/roadster-men-grey-solid-joggers/20192858/buy,Roadster,Men Solid Joggers,S,Rs. 415,Rs. 1299,(68% OFF),bottomwear
57,0.0,0,https://www.myntra.com/shorts/v-mart/v-mart-men-black-cotton-solid-shorts/19096106/buy,V-Mart,Men Black Cotton Shorts,28,Rs. 340,Rs. 400,(15% OFF),bottomwear
58,0.0,0,https://www.myntra.com/shorts/black-panther/black-panther-men-grey-running-sports-shorts/19722260/buy,Black Panther,Men Running Sports Shorts,32,Rs. 339,Rs. 849,(60% OFF),bottomwear
59,0.0,0,https://www.myntra.com/trousers/v-mart/v-mart-men-classic-slim-fit-easy-wash-cottonformal-trousers/22281066/buy,V-Mart,Men Slim Fit Formal Trousers,30,Rs. 449,Rs. 499,(10% OFF),bottomwear
60,2.8,8,https://www.myntra.com/shorts/pause-sport/pause-sport-men-blue-slim-fit-cotton-antimicrobial-technology-shorts/20669480/buy,PAUSE SPORT,Men Slim Fit Cotton Shorts,28,Rs. 359,Rs. 1199,(70% OFF),bottomwear
61,4.3,353,https://www.myntra.com/shorts/tom-burg/tom-burg-men-blue-solid-regular-fit-regular-shorts/11797762/buy,TOM BURG,Men Regular Fit Regular Shorts,28,Rs. 359,Rs. 399,(10% OFF),bottomwear
62,3.9,538,https://www.myntra.com/track-pants/locomotive/locomotive-men-black-solid-slim-fit-track-pants/14229480/buy,LOCOMOTIVE,Men Solid Slim-Fit Track Pants,S,Rs. 431,Rs. 1199,(64% OFF),bottomwear
63,3.7,31,https://www.myntra.com/track-pants/harvard/harvard-men-black-brand-logo-printed-regular-track-pants-with-side-stripes/16234452/buy,Harvard,Men Printed Track Pants,S,Rs. 374,Rs. 1498,(75% OFF),bottomwear
64,3.9,313,https://www.myntra.com/track-pants/locomotive/locomotive-men-black--yellow-colourblocked-slim-fit-track-pants/14152110/buy,LOCOMOTIVE,Men Colourblocked Slim-Fit Track Pants,S,Rs. 431,Rs. 1199,(64% OFF),bottomwear
65,2.9,9,https://www.myntra.com/trousers/pause-sport/pause-sport-men-camouflage-mid-rise-cotton-joggers--/21954868/buy,PAUSE SPORT,Men Mid-Rise Cotton Joggers,32,Rs. 461,Rs. 1399,(67% OFF),bottomwear
66,0.0,0,https://www.myntra.com/trousers/abof/abof-men-rust-colourblocked-printed-joggers-trousers/19879736/buy,abof,Men Joggers Trousers,32,Rs. 479,Rs. 1599,(70% OFF),bottomwear
67,0.0,0,https://www.myntra.com/track-pants/vimal-jonney/vimal-jonney-men-regular-fit-cotton-skin-friendly-track-pants/22540946/buy,VIMAL JONNEY,Men Regular Fit Track Pants,XL,Rs. 395,Rs. 899,(56% OFF),bottomwear
68,0.0,0,https://www.myntra.com/track-pants/v-mart/v-mart-men-side-striped-detail-straight-cotton-track-pants/22809888/buy,V-Mart,Men Cotton Track Pants,M,Rs. 404,Rs. 449,(10% OFF),bottomwear
69,4.0,264,https://www.myntra.com/track-pants/harvard/harvard-men-black--white-checked-straight-fit-joggers/11109796/buy,Harvard,Men Checked Straight Joggers,M,Rs. 424,Rs. 1699,(75% OFF),bottomwear
70,3.4,10,https://www.myntra.com/shorts/pause-sport/pause-sport-men-grey-melange-cotton-outdoor-sports-shorts-with-antimicrobial-technology/20669478/buy,PAUSE SPORT,Men Cotton Sports Shorts,30,Rs. 359,Rs. 1199,(70% OFF),bottomwear
71,3.7,13,https://www.myntra.com/track-pants/highlander/highlander-men-yellow-printed-track-pants/20145690/buy,HIGHLANDER,Men Solid Track Pant,S,Rs. 419,Rs. 1399,(70% OFF),bottomwear
